,STAID,STANAME,CLASS,STATE,COMID,distance,DRAIN_SQKM,flowline_drainage_area,area_difference_pct,match_quality,quality_rank
2966,01379000,PASSAIC RIVER NEAR MILLINGTON NJ,Non-ref,NJ,73005692,0.0005555566666686218,140.4292,148.40437034119782,5.679139624236134,excellent,0
1832,03310300,"NOLIN RIVER AT WHITE MILLS, KY",Non-ref,KY,74047443,0.0002447599999868544,925.7931,978.4878473665633,5.6918492227435395,excellent,0
1228,06912500,"HUNDRED AND TEN MILE C NR QUENEMO, KS",Non-ref,KS,74038929,7.71999999571449e-05,836.8893,884.5729507133632,5.697724981471639,excellent,0
2624,01639000,"MONOCACY RIVER AT BRIDGEPORT, MD",Non-ref,MD,73005485,0.00011784877318891978,448.6043,474.1975378686732,5.70508081814489,excellent,0
2226,03488000,"N F HOLSTON RIVER NEAR SALTVILLE, VA",Ref,VA,74054418,0.00039600666664796336,578.206,611.2641054818697,5.717357737877104,excellent,0
586,13148500,LITTLE WOOD RIVER NR CAREY ID,Non-ref,ID,78024724,0.0003928355293119779,801.7371,847.6133734767108,5.722109339421951,excellent,0
100,11274500,ORESTIMBA C NR NEWMAN CA,Ref,CA,77015587,0.00020105167108939298,347.7503,367.6851697890245,5.732524109691496,excellent,0
768,09289500,"LAKE FORK RIVER AB MOON LAKE, NR MOUNTAIN HOME, UT",Non-ref,UT,77008812,0.0009386158983705136,201.5208,213.18107591852646,5.786140149565926,excellent,0
1027,06411500,RAPID CR BELOW PACTOLA DAM SD,Non-ref,SD,74017872,1.2886666716838135e-05,836.325,884.7775424069928,5.79350640086004,excellent,0
1813,03361850,"BUCK CREEK AT ACTON, IND.",Non-ref,IN,74040177,1.7970000016021004e-05,203.9679,215.7866740921492,5.794428482201967,excellent,0
2223,03473000,"S F HOLSTON RIVER NEAR DAMASCUS, VA",Ref,VA,74055453,0.0005596750172727659,784.8126,830.4237898204102,5.811730064019134,excellent,0
653,13116500,MEDICINE LODGE CREEK NR SMALL ID,Non-ref,ID,78022310,0.0007856734156216332,679.8448,640.3139714060137,5.814684262347268,excellent,0
1235,07170700,"BIG HILL C NR CHERRYVALE, KS",Non-ref,KS,74050252,0.0006333461158534316,94.8177,100.33254788370714,5.816264140247163,excellent,0
1151,07167500,"OTTER C AT CLIMAX, KS",Ref,KS,74047983,0.00012375333335512553,319.6179,338.29225198421364,5.842711557836283,excellent,0
74,11390500,SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA,Non-ref,CA,77013298,0.00014475890026409096,36187.75,34073.15158227863,5.843409490010759,excellent,0
2202,03198500,"BIG COAL RIVER AT ASHFORD, WV",Non-ref,WV,74047063,0.00015610666669374496,1013.508,1072.7818096317012,5.84838103218733,excellent,0
2103,02219000,"APALACHEE RIVER NEAR BOSTWICK, GA",Non-ref,GA,73011766,0.00011532666665914348,456.6087,483.35132935524575,5.856793651817355,excellent,0
744,06280300,"SOUTH FORK SHOSHONE RIVER NEAR VALLEY, WY",Ref,WY,74017923,0.0004739736754013255,793.953,840.5425961658162,5.868054679032167,excellent,0
1431,05502500,"Salt River near Shelbina, MO",Non-ref,MO,74037848,0.00044444666666265675,1194.061,1264.2501046708949,5.878184169057942,excellent,0
366,12095000,"SOUTH PRAIRIE CREEK AT SOUTH PRAIRIE, WA",Ref,WA,78016138,0.0004010851084451871,205.8354,217.9417534190818,5.881570137635126,excellent,0
1944,03272000,Twin Creek near Germantown OH,Non-ref,OH,74039066,0.0003342099999983361,720.9459,763.3729454865274,5.8849139008249285,excellent,0
